number_of_rooms,lot_size,house_size,number_of_bathrooms,size_of_the_yard,distance_to_santa_monica,distance_to_malibu,distance_to_closest_freeway_entrance,distance_to_shopping_center,distance_to_the_beach,solar_pannel,number_of_parking_spot,gated,HOA,school_district,price
7,6684,3327,5,3575,2.91,21.37,0.31,1.13,1.53,0,5,0,0,7.55,2206885
6,5828,2421,3.3,2938,0.54,14.09,0.52,1.02,1.4,0,5,0,1,7.85,2192862
8,2485,3518,4.9,0,3.4,17.51,1.77,1.28,3.04,0,5,1,0,7.71,2141490
8,4987,3069,4.3,2142,0.68,13.46,0.73,1.34,1.2,1,5,0,1,7.99,3245621
6,3407,2417,4,1246,3.95,25.25,0.27,0.5,1.46,1,3,0,0,7.77,1022408
5,4738,2484,2.8,2212,2.2,19.64,1.97,0.32,0.88,0,4,0,1,7.65,2062510
2,35928,1429,1.3,34415,24.18,0.55,11.46,2.26,1.92,1,2,1,0,8.07,1466234
8,38024,3593,5.9,34509,18.6,7.02,4.03,5.26,0.78,0,5,0,1,8.22,5808492
10,20570,6020,5.8,13765,19.97,0.96,4.59,3.21,1.59,0,6,0,0,8.13,8609839
8,7203,3596,4.1,3780,3.8,21.71,0.87,1.35,3.75,0,6,0,0,7.46,2193599
7,1926,2813,4.1,0,0.76,18.22,0.96,1.42,0.54,1,4,0,0,7.81,2848432
6,5593,2661,3.6,2760,0.48,19.32,0.6,1.15,1.22,1,3,0,0,7.7,2538206
8,9530,4130,4.1,5936,12.54,0.81,13.06,1.8,1.11,0,6,1,0,7.78,5576381
2,8873,1667,2.5,7005,2.96,16.38,1.1,1.04,4.4,1,2,0,0,7.42,250000
2,5896,1212,2.9,5690,2.37,19.82,0.47,1.9,3.97,0,2,0,0,7.41,250000
3,5889,1363,2.2,4516,0.72,13.98,1.03,1.16,0.98,1,1,0,0,7.6,483688
8,35090,4188,4.7,31502,13.69,6.64,12.22,3.54,1.57,0,6,1,0,8.09,6659226
6,5419,2725,3.5,2489,0.86,22.29,2.29,0.49,1.77,0,4,0,0,7.78,2387548
4,8776,2086,2.7,6915,3.95,22.02,1.22,0.5,4.09,0,3,0,1,7.58,280368
4,6263,2784,2.5,4406,1.4,20.52,0.99,0.76,1.5,0,4,0,1,7.65,2387089
6,4142,2622,3.8,1968,1.66,19.45,1.08,1.28,0.9,0,3,0,0,7.83,2278379
4,6153,1542,2.9,4940,1.64,20.33,1.43,0.53,0.46,0,3,0,0,7.72,860804
5,2955,2162,2.8,898,2.38,24.37,1.07,0.88,4.42,1,4,0,1,7.69,250000
6,6807,2571,4.6,4381,0.83,21.95,0.92,1.32,0.29,0,4,0,0,7.47,2636120
3,5665,1011,2,4797,2.27,22.23,1.77,0.93,1.62,1,2,1,0,7.5,250000
5,6530,2439,2.3,4590,2.09,22.55,1.56,0.82,0.83,1,5,0,1,8,2113455
6,3815,2332,4,2861,1.31,18.61,0.98,1.37,4.33,0,4,0,0,7.44,659409
7,3239,3135,3.4,264,0.9,17.78,0.73,0.96,0.58,1,4,0,0,7.92,3061164
5,2253,2319,2.9,0,0.37,16.14,1.42,1.32,0.94,0,2,1,1,7.57,2001588
10,57573,5999,5.9,52040,12.03,6.44,4.51,2.65,0.21,0,6,0,0,8.51,9797231
4,2217,1716,3.2,863,2.36,20.02,1.79,0.61,1.11,0,3,1,0,7.57,1009711
5,3995,1579,2.8,3059,1.27,18.93,0.4,0.27,1.05,0,3,0,1,7.45,911627
10,30107,5871,6.1,25616,25.16,8.6,13.17,3.9,0.71,1,6,0,0,7.95,8715208
4,24677,2265,2.4,23121,12.41,6.53,10.37,3.25,0.24,0,5,0,1,8.14,2860669
2,4325,963,1.7,2556,1.31,23.57,1.15,0.15,0.15,1,2,0,1,7.75,250000
7,7822,3558,4.2,5485,1.87,25.53,0.82,0.89,2.19,1,6,0,0,7.6,2382527
4,2100,1688,2.2,478,0.75,23.6,1.53,0.59,1.09,0,5,1,1,8.02,877005
5,3569,2027,3.5,2287,1.12,19.71,1.07,0.61,4.37,0,3,0,0,7.39,250000
4,56978,2233,2.4,55288,19.4,9.81,8.83,7.02,1.22,0,3,0,0,7.92,3488359
10,28010,6034,6.1,22876,24.23,5.82,13.56,2.24,0.31,0,6,1,0,8.75,8845199
3,6909,1350,2.8,5952,1.9,18.3,1.49,0.7,1.74,0,3,0,0,7.81,250000
4,39135,1896,2.6,36481,19.8,0.96,8.08,3.73,0.23,0,3,0,1,7.68,2844220
3,3895,1579,2.7,1703,0.66,15.37,2.07,1.4,0.79,0,3,1,1,8.07,735030
5,6421,2057,2.8,4808,1.18,19.03,1.67,0.2,1.26,0,4,0,0,7.54,1626559
2,4133,1348,1.9,3397,2.89,14.65,1.4,0.77,1,0,2,0,0,7.78,250000
5,2330,1729,3.2,969,0.75,22.11,0.99,1.2,1.62,0,3,0,0,7.94,765041
2,2230,1434,2.4,1041,3.14,22,1.75,1.57,4.33,0,2,0,0,7.46,250000
3,4180,1380,2.5,3249,0.98,16.44,0.42,1.17,0.81,0,2,1,0,7.97,465633
5,2510,2399,3.2,0,1.87,15.79,1.72,0.65,1.31,0,3,0,0,7.87,1790774
6,3771,1676,4.1,2253,0.15,13.49,1.21,0.79,0.79,1,3,0,1,7.87,1209870
10,34150,6866,5.1,26890,14.01,0.37,11.7,6.61,0.33,0,6,0,0,8.34,10444379
10,7274,6432,4.7,1397,24.53,7.85,8.58,3.67,0.68,0,6,1,1,8.5,8777921
3,3702,1418,2.2,1776,0.57,13.69,1.67,1.19,1.08,0,4,0,0,7.57,521959
5,8253,2840,3.3,6709,1.19,15.77,0.21,1.34,2.57,0,4,0,1,8.15,1268210
3,2028,1281,2.5,899,1.17,14.51,0.41,1.28,1.77,0,3,0,1,7.6,250000
10,16266,5839,5.7,11913,26.53,9.45,13.6,4.55,1.96,0,6,1,1,8.3,7581641
3,32940,1468,1.8,31854,12.14,3.7,13.26,2.45,1.31,0,3,0,0,8.03,1733515
5,3302,1815,2.9,735,2.31,23.92,0.4,1.17,0.73,1,4,0,1,7.96,1028523
7,2796,3012,4.1,0,0.34,18.07,0.79,0.15,0.16,0,6,0,1,7.67,3056489
10,57109,6398,5.7,51794,18.71,7.85,8.76,4.38,0.49,0,6,0,0,8.25,10822114
6,6017,2822,4.2,3190,0.9,20.32,2,1.02,0.36,0,3,0,1,7.69,2842512
7,18211,3104,3.6,15751,16.86,2.46,4.01,6.05,1.94,0,5,0,0,7.95,3968467
6,3729,2974,3.8,1953,2.04,23.82,1.96,0.65,1.1,0,5,0,1,7.93,2643125
6,5515,2646,4.1,2974,0.35,18.17,1.42,0.62,1.69,1,5,0,1,7.65,2572754
8,16543,3334,4.6,12347,17.37,9.79,12.57,5.85,1.48,0,5,1,1,7.92,4384234
10,6617,5341,5.5,1813,27.52,4.49,6.35,5.88,1.65,1,6,1,0,8.26,7498948
6,2485,2890,4.1,440,0.48,15.72,0.94,1.32,1.24,1,6,1,0,7.86,2823243
4,4156,1798,1.9,1980,2.06,21.46,0.73,1.52,2.42,0,4,0,1,7.87,250000
4,3553,2088,2.8,2431,3.25,15.22,0.64,0.7,2.51,1,3,0,0,7.33,479807
3,4312,1518,2.2,3783,0.79,19.88,2.43,0.95,0.23,0,4,0,0,7.91,669653
4,4328,1705,2.9,3626,2.79,24.39,1.71,0.39,1.54,0,3,0,0,7.32,250000
5,8712,2037,3.2,6990,3.52,16.26,1.28,1.96,1.36,1,3,0,0,8.01,573172
5,4865,2311,3.5,2436,1.63,14.9,1.87,0.23,0.44,0,3,0,0,7.89,2035275
8,2752,3474,4,60,3.52,23.66,1.52,1.88,2.9,0,5,0,0,7.8,2013571
5,4028,1958,2.7,1458,3.69,22,1.46,1.02,3.21,0,2,1,0,7.61,250000
3,1914,1592,3.1,0,1.31,12.67,1.38,1.4,0.28,0,3,0,0,7.79,761558
10,49963,5237,5.8,45774,13.77,3.03,7.1,2.6,1.08,1,6,0,1,8.05,8913757
7,4429,3065,4,2132,2.2,13.23,1.16,0.87,0.96,1,5,0,0,7.6,3204707
6,3419,2804,4.6,755,1.69,15.41,0.46,0.2,3.52,0,4,0,0,8.15,1169895
3,2100,1799,1.4,1416,0.66,14.63,2.41,0.96,1.05,0,3,0,0,7.87,817807
3,5821,1300,1.7,4585,2.82,15.41,0.74,0.46,3.42,0,3,0,0,8.01,250000
4,6883,1659,3.4,5938,1.03,22.68,1.06,1.71,3.87,0,2,0,1,7.49,250000
7,3817,2748,4.2,1439,2.26,14.44,0.45,1.33,0.76,0,4,0,1,7.42,2832942
4,3623,1757,2.2,1941,0.26,16.43,1.32,1.11,1.22,1,3,0,0,7.93,908881
10,49362,4301,5.4,45669,14.25,6.78,10.2,6.14,0.42,1,6,0,1,8.03,7593425
5,3264,2232,2.5,1263,3.15,17.25,0.52,0.76,1.85,0,4,0,0,7.91,528996
3,7614,1707,2,5571,3.08,17.17,1.7,1.35,2.14,0,3,0,0,7.71,250000
4,16137,1895,2,14479,23.18,3.81,8.32,1.02,0.59,0,3,1,1,7.98,1975308
10,50572,6131,5.1,45239,15.98,5.85,4.67,1.48,2,1,6,0,0,7.93,9757598
7,3674,2703,4.8,1435,1.46,15.75,1.74,0.42,0.12,0,5,0,1,8.14,2848506
8,46863,3877,4.9,42639,23.32,4.01,6.29,5.1,1.86,1,5,1,1,8.15,6362770
6,2563,2182,3.7,1104,3.02,22.13,0.8,1.9,1.59,0,4,0,0,7.44,725021
7,5295,2736,4.4,2342,3.51,16.04,0.23,1.6,3.13,0,6,0,0,7.75,1278182
3,6231,1923,2.7,4816,1.16,14.38,0.88,0.35,3.12,0,3,0,1,7.63,250000
2,7962,1162,1.8,6586,2.01,14.8,1.76,1.67,3.98,0,2,0,0,7.39,250000
10,47002,6819,5.3,40479,19.04,2.93,11.98,3.15,0.67,1,6,0,0,8.21,10989846
3,6296,1256,1.8,4583,0.3,17.81,0.97,0.89,1.47,0,2,0,0,7.56,250000
3,6076,1031,2.5,5345,1.1,17.5,1.9,0.9,1.23,1,1,1,1,7.48,250000
5,7243,2281,2.3,4945,2.45,24.06,0.78,1.75,2.42,0,4,1,0,8.18,563135
3,6584,1598,1.9,4843,2.66,18.47,1.26,0.45,3,1,2,0,1,7.56,250000
6,3748,2735,3.2,945,0.98,13.04,1.52,1.28,1.45,1,4,0,0,7.86,2511687
8,14211,3967,4.3,10787,17.62,1.12,8.86,7.43,0.18,0,5,0,1,7.96,5050448
7,4904,3199,3.6,3230,1.95,16.77,2.12,0.34,0.15,1,5,0,0,7.46,3673979
2,14677,1540,2.3,13083,19.18,2.53,4.5,6.02,0.31,1,2,0,1,7.73,1271323
6,5322,2201,3.8,2990,2.33,16.65,0.45,0.13,1.51,0,3,1,1,7.82,1881172
5,6814,1826,4,4869,3.54,25.37,1.62,1.53,1.97,0,3,0,0,7.53,292269
3,9338,1917,2.4,8650,14.6,6.03,5.5,7.77,0.95,1,3,1,1,7.64,1978438
6,6400,2960,3.2,4348,2.28,15.77,1.82,0.48,0.42,0,4,0,0,7.82,2759752
5,4900,1898,3.9,4146,0.49,13.4,1.5,1.36,0.68,1,4,0,0,7.67,1534147
3,5355,1309,2.2,3701,3.94,16.58,0.31,1.27,3.59,0,3,0,0,7.46,250000
2,2062,1021,2.4,1357,1.76,17.5,0.8,0.96,0.53,0,2,0,0,7.48,250000
4,2240,1973,3.4,0,1.26,22.09,0.79,0.63,1.47,1,3,0,1,7.73,1324897
4,4273,1838,2.4,2752,0.49,19.88,2.44,0.89,1.32,1,2,0,0,7.8,966064
8,6135,2774,4.2,3361,1.57,16.48,0.86,0.25,0.7,0,4,0,0,7.56,2866626
7,36080,2696,4.9,34386,20.04,7.37,13.58,2.39,1.78,0,4,1,0,8.04,4131077
5,6131,2143,3.9,3227,2.13,17.18,1.13,1.38,0.53,0,3,0,0,8.03,1622458
6,5290,2752,3.5,3454,2.37,16.8,2.02,0.47,1.78,0,5,1,0,7.63,2638404
4,4642,1860,2.4,3492,0.48,14.05,1.22,1.16,1.63,0,4,0,0,7.57,1127446
8,56029,3750,4.6,52316,12.81,0.59,9.74,3.63,0.15,0,6,0,0,7.95,6756986
4,5489,1524,3,3763,2.27,16.5,1.51,0.17,0.82,1,2,1,0,7.39,973553
6,10510,2582,2.5,8312,24.04,0.7,8.93,3.98,0.74,1,3,1,0,7.83,2821248
4,3924,2463,3.2,1206,0.24,12.42,1.16,1.08,0.43,0,3,0,1,7.88,2175905
6,27438,2275,4.3,25916,23.81,3.73,10.71,2.75,0.25,0,4,0,1,7.45,3009383
6,4734,2856,3.4,1777,0.58,23.21,1.82,1.25,1.05,1,5,0,0,7.7,2736026
6,6241,2568,3.2,4239,3.05,20.9,0.89,0.7,3.69,1,3,0,0,7.68,887621
10,8430,5511,6.5,2829,17.46,4.89,13.29,3.19,0.98,0,6,1,1,8.59,8472727
2,2672,1234,2.4,2512,2.8,18.09,1.67,0.93,1.5,1,3,0,0,7.65,250000
3,1806,1525,2.9,766,0.62,19.94,1.69,0.93,0.13,0,4,0,0,7.52,770021
6,5590,2694,3.5,3470,0.38,12,1.87,0.6,0.53,0,6,0,0,7.48,2877004
5,2294,1624,3.4,228,0.33,14.12,2.47,0.72,1,0,2,0,1,7.49,1014365
6,3073,2504,4.4,589,3.08,22.41,1.41,1.77,2.75,0,3,0,0,7.65,867472
4,5881,1224,3,4779,1.17,15.27,1.14,1.18,1.82,0,2,0,0,7.72,250000
10,37489,5489,5.9,32362,17.84,6.48,8.66,2.17,1.43,1,6,1,0,8.04,9367413
8,30526,3709,4.5,27227,26.96,2.66,5.2,5.01,1.94,0,4,1,1,7.58,5159871
7,2399,2932,4.4,983,1.1,16.65,1.75,0.72,1.2,0,4,0,0,7.74,2759154
4,5619,1380,2.5,3968,0.24,18.63,1.61,1.32,1.08,0,3,1,0,7.61,614228
5,4050,2270,2.8,2555,0.29,23.27,1.96,0.92,1.51,1,4,0,1,7.78,1597718
6,8564,2748,3.5,7087,2.44,23.72,1.72,0.24,4.44,0,3,0,0,7.56,1147935
3,4101,1011,2.5,3812,2.07,21.92,1.59,0.59,1.46,0,3,0,1,8,250000
5,5053,2215,2.7,3004,0.54,12.72,1.63,1.17,0.99,0,3,0,0,7.61,1770771
5,4461,2012,2.9,3157,1.02,22.07,0.62,0.81,0.21,0,3,1,0,7.92,1461342
8,2510,3460,4.1,0,3.53,17.56,0.32,0.51,1.44,1,4,0,1,7.78,2260879
2,2722,1011,2.2,1354,3.01,21.7,0.86,1.08,2.45,0,3,0,0,7.6,250000
5,5919,2235,3.3,3657,3.77,14.87,0.65,0.83,3.74,0,3,1,0,7.61,614379
5,5056,2504,2.7,1698,3.5,23.65,1.59,0.31,3.42,0,5,1,0,7.59,869227
7,2625,3083,5.2,0,2.21,22.88,2.48,0.39,0.7,0,4,0,0,8.35,2801135
7,3629,2930,5,1320,1.08,18.26,1.45,1.22,1.91,0,5,0,0,7.65,1663051
4,5693,1749,2.9,4062,1.02,19.95,0.66,1.52,1.08,0,2,0,0,7.77,250000
5,16600,1526,3,15298,25.79,5.86,12.91,5.1,1.64,0,3,0,0,7.44,1206775
4,6198,2109,2.3,4920,2.85,14.98,0.34,0.51,2.81,0,3,0,0,7.59,420139
6,6709,2766,3.9,3983,3.8,25.96,1.35,0.72,4.08,1,4,0,0,7.78,1040533
9,22880,3700,5.4,19058,15.36,9.77,10.46,7.53,0.68,1,5,1,1,8.06,4987074
5,4023,2384,3.3,2548,1.89,14.79,1.19,0.48,0.44,1,3,0,0,7.74,2108677
5,2125,2018,3,512,0.36,14.98,1,1.23,1.59,0,4,0,1,7.44,1516401
5,6591,2327,3.4,5098,1.36,17.74,1.48,1.75,1.48,1,4,1,0,8.06,991392
6,3916,3270,3.5,1062,1.51,14.64,1.35,1.06,3.97,0,5,0,0,7.52,1841523
10,50796,5373,5.8,45851,13.69,8.42,10.71,5.82,0.79,1,6,0,1,8.32,9445183
7,3094,3067,4.2,0,0.82,21.31,1.16,0.29,0.12,0,3,0,0,7.87,3168200
9,3141,3555,4.9,196,1.75,14.88,1.26,1.27,2.45,0,5,0,0,7.98,2294138
5,4382,2550,2.6,1730,3.99,19.22,1.67,0.82,1.19,0,4,0,0,7.72,1061777
4,4464,1702,2.6,2645,1,19.46,1.88,0.25,0.16,0,4,0,0,7.75,1053975
6,8911,2962,4.4,6578,1.75,20.46,1.79,1.74,1.34,0,4,0,0,7.58,1829069
3,2155,1330,2.8,596,1.43,15.5,1.22,0.63,1.59,1,2,0,0,7.37,359272
3,5872,1182,3,5102,1.62,13.49,0.46,1.37,0.42,0,2,1,0,8.08,304925
10,55097,5990,4.4,49950,26.21,2.15,6.84,2.88,0.82,0,6,0,0,8.31,9949630
5,3259,2422,3.2,880,1.26,18.53,0.86,0.27,1.96,1,3,0,0,7.96,818031
2,5064,1342,1.3,3155,0.45,23.26,2.32,1.34,1.16,0,3,0,1,7.41,292737
3,3035,1590,1.6,1342,1.64,19.21,1.83,0.61,1.5,0,3,1,0,7.54,665096
2,4971,1454,1.9,3899,1.03,12.97,0.62,0.52,0.25,0,2,1,0,7.88,658233
9,35916,4394,5.6,32436,15.13,1.83,13.16,3.16,0.81,0,6,0,0,8.14,6604003
9,28884,3316,5.2,25629,27.38,4.56,8.89,3.33,1.83,0,5,1,0,8.24,4800778
9,51632,3612,4.3,48674,12.82,4.14,10.74,4.04,1.52,0,4,0,0,7.83,6584998
5,6830,2545,3.7,4022,2.4,17.13,1.35,1.36,0.99,0,4,0,0,7.95,2212030
7,3241,2893,3.5,463,2.8,22.78,1.43,1.96,3.01,1,4,0,0,7.93,1227169
3,6322,1103,3.3,4746,1.96,22.17,0.7,0.7,0.38,0,3,0,0,7.84,250000
7,5161,3478,4.3,2186,3.16,25.16,1.04,0.67,1.18,0,4,0,0,8.15,2071166
